Timestamp,Spot_Price,Fut_Price,VWAP,Vol_Ratio,Trend,Strike,Opt_Symbol,Opt_LTP,Panic%,Spread,Signal,PnL,Balance
14:44:21,26024.0,26024.0,26024.44,0.67,BEARISH,26000,NIFTY25D2326000PE,90.75,0.0,0.0,WAIT,0.0,10000.0
14:44:23,26020.0,26020.0,26024.42,0.71,BEARISH,26000,NIFTY25D2326000PE,90.9,0.0,0.0,WAIT,0.0,10000.0
14:44:26,26020.0,26020.0,26024.42,0.71,BEARISH,26000,NIFTY25D2326000PE,90.65,0.0,0.0,WAIT,0.0,10000.0
14:44:28,26020.0,26020.0,26024.42,0.71,BEARISH,26000,NIFTY25D2326000PE,90.9,0.0,0.0,WAIT,0.0,10000.0
14:44:31,26020.0,26020.0,26024.42,0.71,BEARISH,26000,NIFTY25D2326000PE,90.85,0.0,0.0,WAIT,0.0,10000.0
14:44:33,26020.0,26020.0,26024.42,0.71,BEARISH,26000,NIFTY25D2326000PE,90.85,0.0,0.0,WAIT,0.0,10000.0
14:44:36,26020.1,26020.1,26024.42,0.82,BEARISH,26000,NIFTY25D2326000PE,90.65,0.0,0.0,WAIT,0.0,10000.0
14:44:39,26020.0,26020.0,26024.41,0.85,BEARISH,26000,NIFTY25D2326000PE,90.5,0.0,0.0,WAIT,0.0,10000.0
14:44:41,26020.0,26020.0,26024.41,0.86,BEARISH,26000,NIFTY25D2326000PE,90.7,0.0,0.0,WAIT,0.0,10000.0
14:44:44,26022.8,26022.8,26024.43,0.89,BEARISH,26000,NIFTY25D2326000PE,90.3,0.0,0.0,WAIT,0.0,10000.0
14:44:47,26020.2,26020.2,26024.41,0.93,BEARISH,26000,NIFTY25D2326000PE,90.55,0.0,0.0,WAIT,0.0,10000.0
14:44:49,26020.2,26020.2,26024.41,0.96,BEARISH,26000,NIFTY25D2326000PE,90.5,0.0,0.0,WAIT,0.0,10000.0
14:44:52,26020.0,26020.0,26024.41,0.96,BEARISH,26000,NIFTY25D2326000PE,91.05,0.0,0.0,WAIT,0.0,10000.0
14:55:45,26023.5,26023.5,26026.39,1.18,BEARISH,26000,NIFTY25D2326000PE,90.15,0.0,0.0,WAIT,0.0,10000.0
14:55:48,26020.1,26020.1,26026.35,1.27,BEARISH,26000,NIFTY25D2326000PE,91.2,0.0,0.0,WAIT,0.0,10000.0
14:55:50,26027.0,26027.0,26026.43,1.31,BULLISH,26050,NIFTY25D2326050CE,45.25,0.0,0.0,WAIT,0.0,10000.0
