Timestamp,Trend,Fut_Price,Fut_VWAP,Vol_Ratio,Target_Strike,Opt_Type,Opt_LTP,Opt_OI_Chg,Signal
11:41:05,BEARISH,25995.2,26006.0,0.47,0,PE,0,0,WAIT
11:41:07,BEARISH,25995.2,26006.0,0.47,0,PE,0,0,WAIT
11:41:09,BEARISH,25995.2,26006.0,0.47,0,PE,0,0,WAIT
11:41:10,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:12,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:14,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:15,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:17,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:19,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:21,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:22,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:24,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:26,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:27,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:29,BEARISH,25994.4,26006.0,0.01,0,PE,0,0,WAIT
11:41:31,BEARISH,25990.1,26006.0,0.01,0,PE,0,0,WAIT
11:41:32,BEARISH,25990.0,26006.0,0.06,0,PE,0,0,WAIT
11:41:34,BEARISH,25990.0,26006.0,0.06,0,PE,0,0,WAIT
11:41:36,BEARISH,25990.0,26006.0,0.06,0,PE,0,0,WAIT
11:41:37,BEARISH,25990.0,26006.0,0.06,0,PE,0,0,WAIT
11:41:39,BEARISH,25990.0,26006.0,0.06,0,PE,0,0,WAIT
11:41:41,BEARISH,25990.0,26006.0,0.07,0,PE,0,0,WAIT
11:41:42,BEARISH,25988.0,26006.0,0.08,0,PE,0,0,WAIT
11:41:44,BEARISH,25992.0,26006.0,0.09,0,PE,0,0,WAIT
11:41:46,BEARISH,25989.6,26006.0,0.13,0,PE,0,0,WAIT
11:41:48,BEARISH,25989.6,26006.0,0.13,0,PE,0,0,WAIT
11:41:49,BEARISH,25989.6,26006.0,0.13,0,PE,0,0,WAIT
11:41:51,BEARISH,25985.8,26005.98,0.48,0,PE,0,0,WAIT
11:41:53,BEARISH,25989.6,26005.98,0.48,0,PE,0,0,WAIT
11:41:55,BEARISH,25989.6,26005.98,0.48,0,PE,0,0,WAIT
11:41:56,BEARISH,25989.6,26005.98,0.48,0,PE,0,0,WAIT
