Timestamp,Alert_Type,Severity,Description,Spot,ATM_Strike,Action
2025-12-24 11:43:47,OI_PATTERN,HIGH,LONG_UNWINDING detected,26193.15,26200,CONSIDER_PE
2025-12-24 11:44:20,OVERSOLD,HIGH,RSI at 25 - potential reversal,26186.15,26200,CONSIDER_PE
2025-12-24 11:44:23,OVERSOLD,HIGH,RSI at 25 - potential reversal,26187.55,26200,CONSIDER_PE
2025-12-24 11:44:27,OVERSOLD,HIGH,RSI at 25 - potential reversal,26187.25,26200,CONSIDER_PE
2025-12-24 11:44:30,OVERSOLD,HIGH,RSI at 25 - potential reversal,26187.1,26200,CONSIDER_PE
2025-12-24 11:44:33,OVERSOLD,HIGH,RSI at 24 - potential reversal,26186.1,26200,CONSIDER_PE
2025-12-24 11:44:36,OVERSOLD,HIGH,RSI at 25 - potential reversal,26186.45,26200,CONSIDER_PE
2025-12-24 11:44:40,OVERSOLD,HIGH,RSI at 25 - potential reversal,26187.1,26200,CONSIDER_PE
2025-12-24 11:44:44,OVERSOLD,HIGH,RSI at 25 - potential reversal,26186.15,26200,CONSIDER_PE
2025-12-24 11:44:47,OVERSOLD,HIGH,RSI at 25 - potential reversal,26187.35,26200,CONSIDER_PE
2025-12-24 11:44:51,OVERSOLD,HIGH,RSI at 24 - potential reversal,26186.1,26200,CONSIDER_PE
2025-12-24 11:44:54,OVERSOLD,HIGH,RSI at 25 - potential reversal,26186.25,26200,CONSIDER_PE
2025-12-24 11:44:57,OVERSOLD,HIGH,RSI at 24 - potential reversal,26185.25,26200,CONSIDER_PE
2025-12-24 11:45:00,OVERSOLD,HIGH,RSI at 24 - potential reversal,26185.45,26200,CONSIDER_PE
2025-12-24 11:45:04,OVERSOLD,HIGH,RSI at 25 - potential reversal,26184.0,26200,CONSIDER_PE
2025-12-24 11:45:07,OVERSOLD,HIGH,RSI at 24 - potential reversal,26182.5,26200,CONSIDER_PE
2025-12-24 11:45:10,OVERSOLD,HIGH,RSI at 25 - potential reversal,26184.5,26200,CONSIDER_PE
